Nodes
2|1|298.174704049844|Albuquerque International Sunport|Albuquerque, NM|Albany International|Albany, NY
2|29|200.960833333333|Albuquerque International Sunport|Albuquerque, NM|Hartsfield-Jackson Atlanta International|Atlanta, GA (Metropolitan Area)
2|3|200.349333800842|Albuquerque International Sunport|Albuquerque, NM|Austin - Bergstrom International|Austin, TX
2|10|279.678668478261|Albuquerque International Sunport|Albuquerque, NM|Bradley International|Hartford, CT
2|6|296.671619047619|Albuquerque International Sunport|Albuquerque, NM|Birmingham-Shuttlesworth International|Birmingham, AL
2|11|198.772068965517|Albuquerque International Sunport|Albuquerque, NM|Branson Airport|Branson, MO
2|56|224.546955903272|Albuquerque International Sunport|Albuquerque, NM|Nashville International|Nashville, TN
2|9|218.634863945578|Albuquerque International Sunport|Albuquerque, NM|Boise Air Terminal|Boise, ID
2|40|222.578971428571|Albuquerque International Sunport|Albuquerque, NM|Logan International|Boston, MA (Metropolitan Area)
2|12|215.896655629139|Albuquerque International Sunport|Albuquerque, NM|Buffalo Niagara International|Buffalo, NY
2|8|174.956599732262|Albuquerque International Sunport|Albuquerque, NM|Bob Hope|Los Angeles, CA (Metropolitan Area)
2|4|245.377314225053|Albuquerque International Sunport|Albuquerque, NM|Baltimore/Washington International Thurgood Marshall|Washington, DC (Metropolitan Area)
2|0|252.358805970149|Albuquerque International Sunport|Albuquerque, NM|Akron-Canton Regional|Cleveland, OH (Metropolitan Area)
2|13|241.857848837209|Albuquerque International Sunport|Albuquerque, NM|Charleston AFB/International|Charleston, SC
2|16|241.719909502262|Albuquerque International Sunport|Albuquerque, NM|Cleveland-Hopkins International|Cleveland, OH (Metropolitan Area)
2|14|184.521982758621|Albuquerque International Sunport|Albuquerque, NM|Charlotte Douglas International|Charlotte, NC
2|68|211.279308176101|Albuquerque International Sunport|Albuquerque, NM|Port Columbus International|Columbus, OH
2|69|236.007950310559|Albuquerque International Sunport|Albuquerque, NM|Port Columbus International|Columbus, OH
2|17|241.196433566434|Albuquerque International Sunport|Albuquerque, NM|Corpus Christi International|Corpus Christi, TX
2|18|173.407914558741|Albuquerque International Sunport|Albuquerque, NM|Dallas Love Field|Dallas/Fort Worth, TX
2|34|202.710303030303|Albuquerque International Sunport|Albuquerque, NM|James M Cox/Dayton International|Dayton, OH
2|76|225.063004484305|Albuquerque International Sunport|Albuquerque, NM|Ronald Reagan Washington National|Washington, DC (Metropolitan Area)
2|19|120.522401215805|Albuquerque International Sunport|Albuquerque, NM|Denver International|Denver, CO
2|20|180.425074626866|Albuquerque International Sunport|Albuquerque, NM|Des Moines International|Des Moines, IA
2|21|219.353755656109|Albuquerque International Sunport|Albuquerque, NM|Detroit Metro Wayne County|Detroit, MI
2|60|243.925986394558|Albuquerque International Sunport|Albuquerque, NM|Northwest Florida Beaches International|Panama City, FL
2|22|163.75|Albuquerque International Sunport|Albuquerque, NM|El Paso International|El Paso, TX
2|57|192.764741200828|Albuquerque International Sunport|Albuquerque, NM|Newark Liberty International|New York City, NY (Metropolitan Area)
2|37|258.0|Albuquerque International Sunport|Albuquerque, NM|Key West International|Key West, FL
2|24|185.522002567394|Albuquerque International Sunport|Albuquerque, NM|Fort Lauderdale-Hollywood International|Miami, FL (Metropolitan Area)
2|7|279.992352941177|Albuquerque International Sunport|Albuquerque, NM|Bishop International|Flint, MI
2|84|180.933517241379|Albuquerque International Sunport|Albuquerque, NM|Spokane International|Spokane, WA
2|26|159.915892857143|Albuquerque International Sunport|Albuquerque, NM|Gerald R. Ford International|Grand Rapids, MI
2|28|234.253548387097|Albuquerque International Sunport|Albuquerque, NM|Greenville-Spartanburg International|Greenville/Spartanburg, SC
2|92|221.404706916764|Albuquerque International Sunport|Albuquerque, NM|William P Hobby|Houston, TX
2|89|213.650814814815|Albuquerque International Sunport|Albuquerque, NM|Valley International|Harlingen/San Benito, TX
2|90|227.782854477612|Albuquerque International Sunport|Albuquerque, NM|Washington Dulles International|Washington, DC (Metropolitan Area)
2|91|166.5792|Albuquerque International Sunport|Albuquerque, NM|Wichita Mid-Continent|Wichita, KS
2|30|193.077335092348|Albuquerque International Sunport|Albuquerque, NM|Indianapolis International|Indianapolis, IN
2|41|224.052378640777|Albuquerque International Sunport|Albuquerque, NM|Long Island MacArthur|New York City, NY (Metropolitan Area)
2|31|231.860303030303|Albuquerque International Sunport|Albuquerque, NM|Jackson - Evers International|Jackson/Vicksburg, MS
2|32|264.509583333333|Albuquerque International Sunport|Albuquerque, NM|Jackson Medgar Wiley Evers International|Jackson/Vicksburg, MS
2|33|222.691074766355|Albuquerque International Sunport|Albuquerque, NM|Jacksonville International|Jacksonville, FL
2|50|145.703878596768|Albuquerque International Sunport|Albuquerque, NM|McCarran International|Las Vegas, NV
