Nodes
0|Adams Field-Little Rock, AR|1299202
2|63|108.952905405405|Albuquerque International Sunport|Albuquerque, NM|Tucson International|Tucson, AZ
1|2|226.257083333333|Albany International|Albany, NY|Albuquerque International Sunport|Albuquerque, NM
1|3|229.184923469388|Albany International|Albany, NY|Austin - Bergstrom International|Austin, TX
1|5|194.331227436823|Albany International|Albany, NY|Birmingham-Shuttlesworth International|Birmingham, AL
1|38|184.10896|Albany International|Albany, NY|Nashville International|Nashville, TN
1|7|220.34|Albany International|Albany, NY|Boise Air Terminal|Boise, ID
1|6|269.08167539267|Albany International|Albany, NY|Bob Hope|Los Angeles, CA (Metropolitan Area)
1|4|111.0952700491|Albany International|Albany, NY|Baltimore/Washington International Thurgood Marshall|Washington, DC (Metropolitan Area)
1|11|195.036466165414|Albany International|Albany, NY|Cleveland-Hopkins International|Cleveland, OH (Metropolitan Area)
1|48|191.727046632124|Albany International|Albany, NY|Port Columbus International|Columbus, OH
1|12|364.575|Albany International|Albany, NY|Corpus Christi International|Corpus Christi, TX
1|13|205.844676806084|Albany International|Albany, NY|Dallas Love Field|Dallas/Fort Worth, TX
1|14|222.933860465116|Albany International|Albany, NY|Denver International|Denver, CO
1|15|196.846838235294|Albany International|Albany, NY|Detroit Metro Wayne County|Detroit, MI
1|41|179.216833333333|Albany International|Albany, NY|Northwest Florida Beaches International|Panama City, FL
1|16|267.939142857143|Albany International|Albany, NY|El Paso International|El Paso, TX
1|18|190.638222118525|Albany International|Albany, NY|Fort Lauderdale-Hollywood International|Miami, FL (Metropolitan Area)
1|60|279.406428571429|Albany International|Albany, NY|Spokane International|Spokane, WA
1|67|208.727867078826|Albany International|Albany, NY|William P Hobby|Houston, TX
1|65|247.341428571429|Albany International|Albany, NY|Valley International|Harlingen/San Benito, TX
1|20|185.509090909091|Albany International|Albany, NY|Indianapolis International|Indianapolis, IN
1|21|232.0706|Albany International|Albany, NY|Jackson - Evers International|Jackson/Vicksburg, MS
1|22|197.66650887574|Albany International|Albany, NY|Jacksonville International|Jacksonville, FL
1|34|238.149531731362|Albany International|Albany, NY|McCarran International|Las Vegas, NV
1|29|234.102486583184|Albany International|Albany, NY|Los Angeles International|Los Angeles, CA (Metropolitan Area)
1|32|300.262|Albany International|Albany, NY|Lubbock Preston Smith International|Lubbock, TX
1|0|237.433928571429|Albany International|Albany, NY|Adams Field|Little Rock, AR
1|36|209.596666666667|Albany International|Albany, NY|Midland International|Midland/Odessa, TX
1|24|209.389799426934|Albany International|Albany, NY|Kansas City International|Kansas City, MO
1|43|195.92624442462|Albany International|Albany, NY|Orlando International|Orlando, FL
1|10|187.958191190253|Albany International|Albany, NY|Chicago Midway International|Chicago, IL
1|19|180.167333333333|Albany International|Albany, NY|General Mitchell International|Milwaukee, WI
1|37|237.911117647059|Albany International|Albany, NY|Minneapolis-St Paul International|Minneapolis/St. Paul, MN
1|30|191.230306905371|Albany International|Albany, NY|Louis Armstrong New Orleans International|New Orleans, LA
1|35|258.499075|Albany International|Albany, NY|Metropolitan Oakland International|San Francisco, CA (Metropolitan Area)
1|68|235.338020833333|Albany International|Albany, NY|Will Rogers World|Oklahoma City, OK
1|17|233.448461538462|Albany International|Albany, NY|Eppley Airfield|Omaha, NE
1|42|252.067053140097|Albany International|Albany, NY|Ontario International|Los Angeles, CA (Metropolitan Area)
1|39|162.112971428571|Albany International|Albany, NY|Norfolk International|Norfolk, VA (Metropolitan Area)
1|44|201.813680297398|Albany International|Albany, NY|Palm Beach International|West Palm Beach/Palm Beach, FL
1|49|261.01768558952|Albany International|Albany, NY|Portland International|Portland, OR
1|46|233.278202080238|Albany International|Albany, NY|Phoenix Sky Harbor International|Phoenix, AZ
1|47|121.303247588424|Albany International|Albany, NY|Pittsburgh International|Pittsburgh, PA
1|50|156.316562905318|Albany International|Albany, NY|Raleigh-Durham International|Raleigh/Durham, NC
1|51|247.997112676056|Albany International|Albany, NY|Reno/Tahoe International|Reno, NV
1|59|204.003775|Albany International|Albany, NY|Southwest Florida International|Fort Myers, FL
1|56|241.146979522184|Albany International|Albany, NY|San Diego International|San Diego, CA
1|55|215.790708446866|Albany International|Albany, NY|San Antonio International|San Antonio, TX
1|31|188.667985865724|Albany International|Albany, NY|Louisville International-Standiford Field|Louisville, KY
1|58|253.310688524591|Albany International|Albany, NY|Seattle/Tacoma International|Seattle, WA
1|57|248.927479452055|Albany International|Albany, NY|San Francisco International|San Francisco, CA (Metropolitan Area)
1|40|262.474904214559|Albany International|Albany, NY|Norman Y. Mineta San Jose International|San Francisco, CA (Metropolitan Area)
1|54|220.187062146893|Albany International|Albany, NY|Salt Lake City International|Salt Lake City, UT
1|53|243.171305841924|Albany International|Albany, NY|Sacramento International|Sacramento, CA
1|23|244.665179856115|Albany International|Albany, NY|John Wayne Airport-Orange County|Los Angeles, CA (Metropolitan Area)
1|26|206.332417391304|Albany International|Albany, NY|Lambert-St. Louis International|St. Louis, MO
1|61|191.025953998955|Albany International|Albany, NY|Tampa International|Tampa, FL (Metropolitan Area)
1|64|202.746363636364|Albany International|Albany, NY|Tulsa International|Tulsa, OK
1|63|229.155929648241|Albany International|Albany, NY|Tucson International|Tucson, AZ
52|2|249.0|Rick Husband Amarillo International|Amarillo, TX|Albuquerque International Sunport|Albuquerque, NM
52|1|123.995|Rick Husband Amarillo International|Amarillo, TX|Albany International|Albany, NY
52|3|164.332822665268|Rick Husband Amarillo International|Amarillo, TX|Austin - Bergstrom International|Austin, TX
52|8|4.92|Rick Husband Amarillo International|Amarillo, TX|Bradley International|Hartford, CT
52|5|224.24582278481|Rick Husband Amarillo International|Amarillo, TX|Birmingham-Shuttlesworth International|Birmingham, AL
52|38|196.854330708661|Rick Husband Amarillo International|Amarillo, TX|Nashville International|Nashville, TN
52|7|212.520379746835|Rick Husband Amarillo International|Amarillo, TX|Boise Air Terminal|Boise, ID
52|27|181.740434782609|Rick Husband Amarillo International|Amarillo, TX|Logan International|Boston, MA (Metropolitan Area)
52|9|121.655714285714|Rick Husband Amarillo International|Amarillo, TX|Buffalo Niagara International|Buffalo, NY
52|6|220.960740740741|Rick Husband Amarillo International|Amarillo, TX|Bob Hope|Los Angeles, CA (Metropolitan Area)
52|4|210.728739495798|Rick Husband Amarillo International|Amarillo, TX|Baltimore/Washington International Thurgood Marshall|Washington, DC (Metropolitan Area)
52|11|426.675|Rick Husband Amarillo International|Amarillo, TX|Cleveland-Hopkins International|Cleveland, OH (Metropolitan Area)
52|48|253.023333333333|Rick Husband Amarillo International|Amarillo, TX|Port Columbus International|Columbus, OH
52|12|168.748616352201|Rick Husband Amarillo International|Amarillo, TX|Corpus Christi International|Corpus Christi, TX
52|13|104.171550200803|Rick Husband Amarillo International|Amarillo, TX|Dallas Love Field|Dallas/Fort Worth, TX
52|14|95.5286038394415|Rick Husband Amarillo International|Amarillo, TX|Denver International|Denver, CO
52|15|179.98875|Rick Husband Amarillo International|Amarillo, TX|Detroit Metro Wayne County|Detroit, MI
52|41|153.4464|Rick Husband Amarillo International|Amarillo, TX|Northwest Florida Beaches International|Panama City, FL
52|16|170.397142857143|Rick Husband Amarillo International|Amarillo, TX|El Paso International|El Paso, TX
52|18|184.610757575758|Rick Husband Amarillo International|Amarillo, TX|Fort Lauderdale-Hollywood International|Miami, FL (Metropolitan Area)
52|60|235.785072463768|Rick Husband Amarillo International|Amarillo, TX|Spokane International|Spokane, WA
52|67|163.738794326241|Rick Husband Amarillo International|Amarillo, TX|William P Hobby|Houston, TX
52|65|173.837985611511|Rick Husband Amarillo International|Amarillo, TX|Valley International|Harlingen/San Benito, TX
52|66|210.49652173913|Rick Husband Amarillo International|Amarillo, TX|Washington Dulles International|Washington, DC (Metropolitan Area)
52|20|196.58487804878|Rick Husband Amarillo International|Amarillo, TX|Indianapolis International|Indianapolis, IN
52|28|155.602|Rick Husband Amarillo International|Amarillo, TX|Long Island MacArthur|New York City, NY (Metropolitan Area)
52|21|199.685|Rick Husband Amarillo International|Amarillo, TX|Jackson - Evers International|Jackson/Vicksburg, MS
52|22|120.693636363636|Rick Husband Amarillo International|Amarillo, TX|Jacksonville International|Jacksonville, FL
52|34|183.850310621243|Rick Husband Amarillo International|Amarillo, TX|McCarran International|Las Vegas, NV
52|29|195.855777777778|Rick Husband Amarillo International|Amarillo, TX|Los Angeles International|Los Angeles, CA (Metropolitan Area)
52|25|115.210909090909|Rick Husband Amarillo International|Amarillo, TX|LaGuardia|New York City, NY (Metropolitan Area)
52|0|174.918378378378|Rick Husband Amarillo International|Amarillo, TX|Adams Field|Little Rock, AR
52|36|217.99|Rick Husband Amarillo International|Amarillo, TX|Midland International|Midland/Odessa, TX
52|24|227.229045643153|Rick Husband Amarillo International|Amarillo, TX|Kansas City International|Kansas City, MO
52|43|201.870462633452|Rick Husband Amarillo International|Amarillo, TX|Orlando International|Orlando, FL
52|10|205.193980582524|Rick Husband Amarillo International|Amarillo, TX|Chicago Midway International|Chicago, IL
52|33|219.752|Rick Husband Amarillo International|Amarillo, TX|Manchester-Boston Regional|Boston, MA (Metropolitan Area)
52|19|204.429|Rick Husband Amarillo International|Amarillo, TX|General Mitchell International|Milwaukee, WI
52|37|228.878108108108|Rick Husband Amarillo International|Amarillo, TX|Minneapolis-St Paul International|Minneapolis/St. Paul, MN
52|30|216.670852272727|Rick Husband Amarillo International|Amarillo, TX|Louis Armstrong New Orleans International|New Orleans, LA
52|35|215.243195876289|Rick Husband Amarillo International|Amarillo, TX|Metropolitan Oakland International|San Francisco, CA (Metropolitan Area)
52|68|156.58425|Rick Husband Amarillo International|Amarillo, TX|Will Rogers World|Oklahoma City, OK
52|17|189.595490196079|Rick Husband Amarillo International|Amarillo, TX|Eppley Airfield|Omaha, NE
52|42|215.723263888889|Rick Husband Amarillo International|Amarillo, TX|Ontario International|Los Angeles, CA (Metropolitan Area)
52|39|139.795555555556|Rick Husband Amarillo International|Amarillo, TX|Norfolk International|Norfolk, VA (Metropolitan Area)
52|44|4.81|Rick Husband Amarillo International|Amarillo, TX|Palm Beach International|West Palm Beach/Palm Beach, FL
52|49|216.012272727273|Rick Husband Amarillo International|Amarillo, TX|Portland International|Portland, OR
52|45|235.436461538462|Rick Husband Amarillo International|Amarillo, TX|Philadelphia International|Philadelphia, PA
52|46|210.146918767507|Rick Husband Amarillo International|Amarillo, TX|Phoenix Sky Harbor International|Phoenix, AZ
52|62|378.15|Rick Husband Amarillo International|Amarillo, TX|Theodore Francis Green State|Boston, MA (Metropolitan Area)
52|50|209.387857142857|Rick Husband Amarillo International|Amarillo, TX|Raleigh-Durham International|Raleigh/Durham, NC
52|51|233.853423423423|Rick Husband Amarillo International|Amarillo, TX|Reno/Tahoe International|Reno, NV
52|59|118.745|Rick Husband Amarillo International|Amarillo, TX|Southwest Florida International|Fort Myers, FL
52|56|189.209518900344|Rick Husband Amarillo International|Amarillo, TX|San Diego International|San Diego, CA
52|55|158.203615023474|Rick Husband Amarillo International|Amarillo, TX|San Antonio International|San Antonio, TX
52|31|5.06|Rick Husband Amarillo International|Amarillo, TX|Louisville International-Standiford Field|Louisville, KY
52|58|213.0469035533|Rick Husband Amarillo International|Amarillo, TX|Seattle/Tacoma International|Seattle, WA
52|57|241.256785714286|Rick Husband Amarillo International|Amarillo, TX|San Francisco International|San Francisco, CA (Metropolitan Area)
